,Texto,Lema,POS
0,DEPARTAMENTO,departamento,PROPN
1,DE,de,ADP
2,"
","
",SPACE
3,INSPECCIÓN,inspección,NOUN
4,Y,y,CCONJ
5,CONTROL,control,NOUN
6,DE,de,ADP
7,"
","
",SPACE
8,MEDICAMENTOS,medicamentos,PROPN
9,"
","
",SPACE
10,Guía,guía,PROPN
11,de,de,ADP
12,Normas,norma,NOUN
13,de,de,ADP
14,Correcta,correcta,PROPN
15,Fabricación,fabricación,PROPN
16,de,de,ADP
17,"
","
",SPACE
18,Medicamentos,medicamentos,PROPN
19,de,de,ADP
20,Uso,uso,PROPN
21,Humano,humano,PROPN
22,y,y,CCONJ
23,Veterinario,veterinario,PROPN
24,"
","
",SPACE
25,Anexo,anexo,PROPN
26,15,15,NUM
27,:,:,PUNCT
28,Cualificación,cualificación,PROPN
29,y,y,CCONJ
30,validación,validación,NOUN
31,"
","
",SPACE
32,Bases,base,NOUN
33,legales,legal,ADJ
34,para,para,ADP
35,la,el,DET
36,publicación,publicación,NOUN
37,de,de,ADP
38,guías,guía,NOUN
39,detalladas,detallado,ADJ
40,:,:,PUNCT
41,artículo,artículo,NOUN
42,47,47,NUM
43,de,de,ADP
44,la,el,DET
45,Directiva,directiva,PROPN
46,2001/83,2001/83,NOUN
47,/,/,PUNCT
48,CE,ce,PROPN
49,",",",",PUNCT
50,"
","
",SPACE
51,por,por,ADP
52,la,el,DET
53,que,que,PRON
54,se,él,PRON
55,establece,establecer,VERB
56,un,uno,DET
57,código,código,NOUN
58,comunitario,comunitario,ADJ
59,sobre,sobre,ADP
60,medicamentos,medicamento,NOUN
61,para,para,ADP
62,uso,uso,NOUN
63,humano,humano,ADJ
64,",",",",PUNCT
65,y,y,CCONJ
66,artículo,artículo,NOUN
67,"
","
",SPACE
68,51,51,NUM
69,de,de,ADP
70,la,el,DET
71,Directiva,directiva,PROPN
72,2001/82,2001/82,NOUN
73,/,/,PUNCT
74,CE,ce,PROPN
75,",",",",PUNCT
76,por,por,ADP
77,la,el,DET
78,que,que,PRON
79,se,él,PRON
80,establece,establecer,VERB
81,un,uno,DET
82,código,código,NOUN
83,comunitario,comunitario,ADJ
84,sobre,sobre,ADP
85,"
","
",SPACE
86,medicamentos,medicamento,NOUN
87,veterinarios,veterinario,ADJ
88,.,.,PUNCT
89,Este,este,DET
90,documento,documento,NOUN
91,proporciona,proporcionar,VERB
92,una,uno,DET
93,orientación,orientación,NOUN
94,para,para,ADP
95,la,el,DET
96,interpretación,interpretación,NOUN
97,de,de,ADP
98,"
","
",SPACE
99,los,el,DET
100,principios,principio,NOUN
101,y,y,CCONJ
102,directrices,directriz,NOUN
103,de,de,ADP
104,las,el,DET
105,Normas,norma,NOUN
106,de,de,ADP
107,Correcta,correcta,PROPN
108,Fabricación,fabricación,PROPN
109,(,(,PUNCT
110,NCF,ncf,PROPN
111,),),PUNCT
112,de,de,ADP
113,los,el,DET
114,medicamentos,medicamento,NOUN
115,",",",",PUNCT
116,"
","
",SPACE
117,como,como,SCONJ
118,se,él,PRON
119,establece,establecer,VERB
120,en,en,ADP
121,la,el,DET
122,Directiva,directiva,PROPN
123,2003/94,2003/94,NOUN
124,/,/,PUNCT
125,CE,ce,PROPN
126,de,de,ADP
127,medicamentos,medicamento,NOUN
128,de,de,ADP
129,uso,uso,NOUN
130,humano,humano,ADJ
131,y,y,CCONJ
132,en,en,ADP
133,la,el,DET
134,Directiva,directiva,PROPN
135,"
","
",SPACE
136,91/412,91/412,NUM
137,/,/,PUNCT
138,CEE,cee,PROPN
139,de,de,ADP
140,medicamentos,medicamento,NOUN
141,de,de,ADP
142,uso,uso,NOUN
143,veterinario,veterinario,ADJ
144,.,.,PUNCT
145,"
","
",SPACE
146,Estado,estado,PROPN
147,del,del,ADP
148,documento,documento,NOUN
149,:,:,PUNCT
150,revisado,revisado,ADJ
151,.,.,PUNCT
152,"
","
",SPACE
153,Razones,razón,NOUN
154,de,de,ADP
155,los,el,DET
156,cambios,cambio,NOUN
157,:,:,PUNCT
158,desde,desde,ADP
159,la,el,DET
160,publicación,publicación,NOUN
161,del,del,ADP
162,anexo,anexo,NOUN
163,15,15,NUM
164,en,en,ADP
165,el,el,DET
166,año,año,NOUN
167,2001,2001,NUM
168,",",",",PUNCT
169,el,el,DET
170,entorno,entorno,NOUN
171,de,de,ADP
172,"
","
",SPACE
173,producción,producción,NOUN
174,y,y,CCONJ
175,el,el,DET
176,regulatorio,regulatorio,NOUN
177,han,haber,AUX
178,cambiado,cambiar,VERB
179,significativamente,significativamente,ADV
180,y,y,CCONJ
181,por,por,ADP
182,ello,él,PRON
183,",",",",PUNCT
184,se,él,PRON
185,requiere,requerir,VERB
186,una,uno,DET
187,"
","
",SPACE
188,actualización,actualización,NOUN
189,del,del,ADP
190,presente,presente,ADJ
191,anexo,anexo,NOUN
192,",",",",PUNCT
193,de,de,ADP
194,manera,manera,NOUN
195,que,que,SCONJ
196,se,él,PRON
197,refleje,reflejar,VERB
198,este,este,DET
199,cambio,cambio,NOUN
200,del,del,ADP
201,entorno,entorno,NOUN
202,.,.,PUNCT
203,Esta,este,DET
204,revisión,revisión,NOUN
205,"
","
",SPACE
206,del,del,ADP
207,anexo,anexo,NOUN
208,15,15,NUM
209,tiene,tener,VERB
210,en,en,ADP
211,cuenta,cuenta,NOUN
212,los,el,DET
213,cambios,cambio,NOUN
214,en,en,ADP
215,otras,otro,DET
216,secciones,sección,NOUN
217,de,de,ADP
218,la,el,DET
219,parte,parte,NOUN
220,I,i,CCONJ
221,del,del,ADP
222,Volumen,volumen,PROPN
223,4,4,NUM
224,de,de,ADP
225,"
","
",SPACE
226,EudraLex,eudralex,PROPN
227,",",",",PUNCT
228,la,el,DET
229,relación,relación,NOUN
230,con,con,ADP
231,la,el,DET
232,parte,parte,NOUN
233,II,ii,PROPN
234,",",",",PUNCT
235,el,el,DET
236,anexo,anexo,NOUN
237,11,11,NUM
238,",",",",PUNCT
239,las,el,DET
240,guías,guía,NOUN
241,de,de,ADP
242,la,el,DET
243,International,international,PROPN
244,Conference,conference,PROPN
245,on,on,ADJ
246,"
","
",SPACE
247,Harmonisation,harmonisation,PROPN
248,of,of,PROPN
249,Technical,technical,PROPN
250,Requirements,requirements,PROPN
251,for,for,PROPN
252,Registration,registration,PROPN
253,of,of,PROPN
254,Pharmaceuticals,pharmaceuticals,PROPN
255,for,for,PROPN
256,Human,human,PROPN
257,Use,use,PROPN
258,"
","
",SPACE
259,(,(,PUNCT
260,ICH,ich,PROPN
261,),),PUNCT
262,Q8,q8,NOUN
263,",",",",PUNCT
264,Q9,q9,PROPN
265,",",",",PUNCT
266,Q10,q10,PROPN
267,y,y,CCONJ
268,Q11,q11,PROPN
269,",",",",PUNCT
270,la,el,DET
271,guía,guía,NOUN
272,del,del,ADP
273,Quality,quality,PROPN
274,Working,working,PROPN
275,Party,party,PROPN
276,(,(,PUNCT
277,QWP,qwp,PROPN
278,),),PUNCT
279,sobre,sobre,ADP
280,la,el,DET
281,validación,validación,NOUN
282,del,del,ADP
283,"
","
",SPACE
284,proceso,proceso,NOUN
285,",",",",PUNCT
286,y,y,CCONJ
287,los,el,DET
